past_month,stock,txn_date,close,amt,sell_dates,sell_nav
2021-06,MARUTI.NS.csv,2021-07-01,7584.39990234375,200,2021-08-01,7199.39990234375
2021-06,BAJFINANCE.NS.csv,2021-07-01,5967.14990234375,200,2021-11-01,7413.9501953125
2021-06,ULTRACEMCO.NS.csv,2021-07-01,6707.25,200,2021-09-01,7766.9501953125
2021-06,TCS.NS.csv,2021-07-01,3341.5,200,2021-08-01,3284.89990234375
2021-06,INFY.NS.csv,2021-07-01,1560.4000244140625,200,2022-02-01,1772.050048828125
2021-07,ULTRACEMCO.NS.csv,2021-08-01,7843.25,200,2021-09-01,7766.9501953125
2021-07,NESTLEIND.NS.csv,2021-08-01,18284.099609375,200,2021-10-01,19549.94921875
2021-07,BAJAJFINSV.NS.csv,2021-08-01,1429.5,200,2021-12-01,1738.2950439453125
2021-07,BAJFINANCE.NS.csv,2021-08-01,6331.89990234375,200,2021-11-01,7413.9501953125
2021-07,LT.NS.csv,2021-08-01,1634.3499755859375,200,2021-12-01,1786.0
2021-08,BAJAJFINSV.NS.csv,2021-09-01,1678.6300048828125,200,2021-12-01,1738.2950439453125
2021-08,TCS.NS.csv,2021-09-01,3714.949951171875,200,2021-11-01,3476.39990234375
2021-08,HINDUNILVR.NS.csv,2021-09-01,2732.89990234375,200,2021-10-01,2704.050048828125
2021-08,NESTLEIND.NS.csv,2021-09-01,19826.849609375,200,2021-10-01,19549.94921875
2021-08,BAJFINANCE.NS.csv,2021-09-01,7519.60009765625,200,2021-11-01,7413.9501953125
2021-09,MARUTI.NS.csv,2021-10-01,7162.2998046875,200,2021-12-01,7273.25
2021-09,KOTAKBANK.NS.csv,2021-10-01,1993.550048828125,200,2021-12-01,1953.3499755859373
2021-09,BAJFINANCE.NS.csv,2021-10-01,7522.75,200,2021-11-01,7413.9501953125
2021-09,RELIANCE.NS.csv,2021-10-01,2523.699951171875,200,2021-12-01,2467.0
2021-09,INDUSINDBK.NS.csv,2021-10-01,1104.050048828125,200,2021-12-01,933.6500244140624
2021-10,TITAN.NS.csv,2021-11-01,2406.300048828125,200,2021-12-01,2360.199951171875
2021-10,HDFC.NS.csv,2021-11-01,2887.949951171875,200,2021-12-01,2703.64990234375
2021-10,KOTAKBANK.NS.csv,2021-11-01,2076.5,200,2021-12-01,1953.3499755859373
2021-10,TECHM.NS.csv,2021-11-01,1522.1500244140625,200,2022-02-01,1505.75
2021-10,TATAMOTORS.NS.csv,2021-11-01,485.7000122070313,200,2021-12-01,475.25
2021-11,POWERGRID.NS.csv,2021-12-01,207.1999969482422,200,2022-01-01,205.0
2021-11,BHARTIARTL.NS.csv,2021-12-01,722.25,200,2022-01-01,691.2999877929688
2021-11,TECHM.NS.csv,2021-12-01,1587.5999755859375,200,2022-02-01,1505.75
2021-11,NESTLEIND.NS.csv,2021-12-01,19397.80078125,200,2022-02-01,18671.69921875
2021-11,ASIANPAINT.NS.csv,2021-12-01,3138.14990234375,200,2022-02-01,3196.25
2021-12,ASIANPAINT.NS.csv,2022-01-01,3422.39990234375,200,2022-02-01,3196.25
2021-12,TECHM.NS.csv,2022-01-01,1784.800048828125,200,2022-02-01,1505.75
2021-12,INFY.NS.csv,2022-01-01,1898.449951171875,200,2022-02-01,1772.050048828125
2021-12,HCLTECH.NS.csv,2022-01-01,1326.1500244140625,200,2022-02-01,1132.800048828125
2021-12,TCS.NS.csv,2022-01-01,3817.75,200,2022-02-01,3800.64990234375
2022-01,MARUTI.NS.csv,2022-02-01,8559.400390625,200,2022-03-01,7595.5498046875
2022-01,M&M.NS.csv,2022-02-01,869.7000122070312,200,2022-03-01,762.0499877929688
2022-01,SBIN.NS.csv,2022-02-01,532.2999877929688,200,2022-03-01,467.3999938964844
2022-01,AXISBANK.NS.csv,2022-02-01,781.9000244140625,200,2022-03-01,737.6500244140625
2022-01,ICICIBANK.NS.csv,2022-02-01,810.2999877929688,200,2022-03-01,698.2999877929688
2022-02,NTPC.NS.csv,2022-03-01,132.10000610351562,200,2022-06-01,156.8000030517578
2022-02,POWERGRID.NS.csv,2022-03-01,217.8500061035156,200,2022-04-01,225.0500030517578
2022-02,RELIANCE.NS.csv,2022-03-01,2378.300048828125,200,2022-07-01,2408.699951171875
2022-02,TATASTEEL.NS.csv,2022-03-01,130.3300018310547,200,2022-05-01,126.13500213623048
2022-02,TITAN.NS.csv,2022-03-01,2574.25,200,2022-05-01,2289.949951171875
2022-03,BAJFINANCE.NS.csv,2022-04-01,7408.10009765625,200,2022-05-01,6339.75
2022-03,ULTRACEMCO.NS.csv,2022-04-01,6670.5498046875,200,2022-05-01,6521.9501953125
2022-03,MARUTI.NS.csv,2022-04-01,7700.0498046875,200,2022-09-01,9024.5
2022-03,RELIANCE.NS.csv,2022-04-01,2655.85009765625,200,2022-07-01,2408.699951171875
2022-03,ASIANPAINT.NS.csv,2022-04-01,3114.14990234375,200,2022-06-01,2852.5
2022-04,NESTLEIND.NS.csv,2022-05-01,18087.75,200,2022-10-01,18992.599609375
2022-04,RELIANCE.NS.csv,2022-05-01,2693.64990234375,200,2022-07-01,2408.699951171875
2022-04,MARUTI.NS.csv,2022-05-01,7397.89990234375,200,2022-09-01,9024.5
2022-04,M&M.NS.csv,2022-05-01,896.0999755859375,200,2022-10-01,1251.3499755859375
2022-04,HINDUNILVR.NS.csv,2022-05-01,2171.550048828125,200,2022-09-01,2606.0
2022-05,NESTLEIND.NS.csv,2022-06-01,17241.55078125,200,2022-10-01,18992.599609375
2022-05,KOTAKBANK.NS.csv,2022-06-01,1865.0999755859373,200,2022-07-01,1667.75
2022-05,HDFC.NS.csv,2022-06-01,2329.89990234375,200,2022-07-01,2210.550048828125
2022-05,MARUTI.NS.csv,2022-06-01,7939.39990234375,200,2022-09-01,9024.5
2022-05,HINDUNILVR.NS.csv,2022-06-01,2308.449951171875,200,2022-09-01,2606.0
2022-06,MARUTI.NS.csv,2022-07-01,8402.599609375,200,2022-09-01,9024.5
2022-06,NESTLEIND.NS.csv,2022-07-01,17795.05078125,200,2022-10-01,18992.599609375
2022-06,M&M.NS.csv,2022-07-01,1107.3499755859375,200,2022-10-01,1251.3499755859375
2022-06,HINDUNILVR.NS.csv,2022-07-01,2282.35009765625,200,2022-09-01,2606.0
2022-06,ITC.NS.csv,2022-07-01,284.3500061035156,200,2022-12-01,339.54998779296875
2022-07,BAJFINANCE.NS.csv,2022-08-01,7261.0,200,2022-09-01,7181.2998046875
2022-07,NESTLEIND.NS.csv,2022-08-01,19255.19921875,200,2022-10-01,18992.599609375
2022-07,ULTRACEMCO.NS.csv,2022-08-01,6657.64990234375,200,2022-09-01,6632.5
2022-07,ASIANPAINT.NS.csv,2022-08-01,3324.550048828125,200,2022-09-01,3446.550048828125
2022-07,TITAN.NS.csv,2022-08-01,2376.25,200,2022-10-01,2574.199951171875
2022-08,RELIANCE.NS.csv,2022-09-01,2560.39990234375,200,2022-10-01,2369.5
2022-08,NESTLEIND.NS.csv,2022-09-01,19732.94921875,200,2022-10-01,18992.599609375
2022-08,LT.NS.csv,2022-09-01,1912.949951171875,200,2022-10-01,1819.300048828125
2022-08,BAJAJFINSV.NS.csv,2022-09-01,1740.6400146484375,200,2022-10-01,1646.5999755859375
2022-08,TITAN.NS.csv,2022-09-01,2622.0,200,2022-10-01,2574.199951171875
2022-09,BAJFINANCE.NS.csv,2022-10-01,7171.7998046875,200,2022-11-01,7209.5
2022-09,HINDUNILVR.NS.csv,2022-10-01,2622.5,200,2022-11-01,2551.800048828125
2022-09,INDUSINDBK.NS.csv,2022-10-01,1156.25,200,2022-11-01,1151.1500244140625
2022-09,SUNPHARMA.NS.csv,2022-10-01,944.5,200,2022-12-01,1046.449951171875
2022-09,BHARTIARTL.NS.csv,2022-10-01,803.3499755859375,200,2023-01-01,817.5999755859375
2022-10,NESTLEIND.NS.csv,2022-11-01,20589.94921875,200,2022-12-01,20049.5
2022-10,MARUTI.NS.csv,2022-11-01,9454.599609375,200,2022-12-01,8958.150390625
2022-10,ULTRACEMCO.NS.csv,2022-11-01,6820.89990234375,200,2023-01-01,6993.60009765625
2022-10,AXISBANK.NS.csv,2022-11-01,871.75,200,2023-02-01,857.25
2022-10,RELIANCE.NS.csv,2022-11-01,2529.85009765625,200,2023-01-01,2557.050048828125
2022-11,RELIANCE.NS.csv,2022-12-01,2723.300048828125,200,2023-01-01,2557.050048828125
2022-11,HDFCBANK.NS.csv,2022-12-01,1619.5,200,2023-03-01,1598.050048828125
2022-11,INFY.NS.csv,2022-12-01,1657.0999755859375,200,2023-01-01,1522.550048828125
2022-11,HDFC.NS.csv,2022-12-01,2700.949951171875,200,2023-01-01,2664.699951171875
2022-11,TCS.NS.csv,2022-12-01,3475.64990234375,200,2023-01-01,3311.35009765625
2022-12,INDUSINDBK.NS.csv,2023-01-01,1240.949951171875,200,2023-02-01,1041.8499755859375
2022-12,AXISBANK.NS.csv,2023-01-01,962.2999877929688,200,2023-02-01,857.25
2022-12,HDFCBANK.NS.csv,2023-01-01,1639.3499755859375,200,2023-03-01,1598.050048828125
2022-12,TATASTEEL.NS.csv,2023-01-01,118.4499969482422,200,2023-03-01,105.5
2022-12,ITC.NS.csv,2023-01-01,331.1000061035156,200,2023-04-01,378.8999938964844
2023-01,MARUTI.NS.csv,2023-02-01,8768.849609375,200,2023-03-01,8764.150390625
2023-01,TCS.NS.csv,2023-02-01,3408.35009765625,200,2023-03-01,3385.699951171875
2023-01,LT.NS.csv,2023-02-01,2145.550048828125,200,2023-06-01,2207.800048828125
2023-01,HCLTECH.NS.csv,2023-02-01,1132.0999755859375,200,2023-03-01,1101.0999755859375
2023-01,M&M.NS.csv,2023-02-01,1352.050048828125,200,2023-03-01,1272.1500244140625
2023-02,BAJAJFINSV.NS.csv,2023-03-01,1343.9000244140625,200,2023-04-01,1282.949951171875
2023-02,ULTRACEMCO.NS.csv,2023-03-01,7274.14990234375,200,2023-05-01,7507.2001953125
2023-02,RELIANCE.NS.csv,2023-03-01,2343.89990234375,200,2023-04-01,2331.449951171875
2023-02,BAJFINANCE.NS.csv,2023-03-01,6154.85009765625,200,2023-04-01,5715.0498046875
2023-02,TECHM.NS.csv,2023-03-01,1126.9000244140625,200,2023-04-01,1103.199951171875
2023-03,NESTLEIND.NS.csv,2023-04-01,19705.44921875,200,2023-06-01,21874.30078125
2023-03,ULTRACEMCO.NS.csv,2023-04-01,7640.5,200,2023-05-01,7507.2001953125
2023-03,TITAN.NS.csv,2023-04-01,2537.39990234375,200,Not Applicable,Not Applicable
2023-03,HINDUNILVR.NS.csv,2023-04-01,2536.10009765625,200,2023-05-01,2486.0
2023-03,LT.NS.csv,2023-04-01,2170.14990234375,200,2023-06-01,2207.800048828125
2023-04,TITAN.NS.csv,2023-05-01,2654.050048828125,200,Not Applicable,Not Applicable
2023-04,ASIANPAINT.NS.csv,2023-05-01,2929.699951171875,200,Not Applicable,Not Applicable
2023-04,BAJFINANCE.NS.csv,2023-05-01,6180.25,200,Not Applicable,Not Applicable
2023-04,NESTLEIND.NS.csv,2023-05-01,21875.69921875,200,2023-06-01,21874.30078125
2023-04,KOTAKBANK.NS.csv,2023-05-01,1930.949951171875,200,Not Applicable,Not Applicable
2023-05,ASIANPAINT.NS.csv,2023-06-01,3240.699951171875,200,Not Applicable,Not Applicable
2023-05,BAJFINANCE.NS.csv,2023-06-01,7040.5,200,Not Applicable,Not Applicable
2023-05,MARUTI.NS.csv,2023-06-01,9328.2998046875,200,Not Applicable,Not Applicable
2023-05,ULTRACEMCO.NS.csv,2023-06-01,7842.7998046875,200,Not Applicable,Not Applicable
2023-05,HINDUNILVR.NS.csv,2023-06-01,2697.89990234375,200,Not Applicable,Not Applicable
